nazwa_instytucji,badges,lokalizacja,adres,rodzaj_dzialalnosci,ilosc_miejsc,wpis_krdo,strona
Dom Pomocy Społecznej Zgromadzenia Sióstr Służebniczek NMP Łódź Kosynierów Gdyńskich,REKOMENDACJA KIDO,Łódź,"Kosynierów Gdyńskich 20,
									93-357
									Łódź",dla osób przewlekle psychicznie chorych (Publiczny),100,1142/KR - 2021,13
Dom Pomocy Społecznej prowadzony przez Zgromadzenie Sióstr Albertynek Kutno,REKOMENDACJA KIDO,Powiat kutnowski,"Jana III Sobieskiego 49,
									99-300
									Kutno",dla osób przewlekle somatycznie chorych (Publiczny),71,1146/KR - 2021,13
Dom Pomocy Społecznej Lubliniec z filią Koszęcin,REKOMENDACJA KIDO,Powiat lubliniecki,"Kochcicka 14,
									42-700
									Lubliniec Dąbrówki 1,
									42-286
									Koszęcin",osoby przewlekle psychicznie chore osoby przewlekle psychicznie chore (Publiczny),278,2410/KR - 2021,14
Dom Pomocy Społecznej w Wysokiej,REKOMENDACJA KIDO,Powiat tucholski,"Wysoka 16,
									89-502
									Raciąż",dla osób przewlekle somatycznie chorych (Publiczny),46,2578/KR - 2021,14
Dom Pomocy Społecznej we Włocławku,REKOMENDACJA KIDO,Włocławek,"Dobrzyńska 102,
									87-800
									Włocławek",dla osób w podeszłym wieku (Publiczny),58,2583/KR - 2021,14
Dom Pomocy Społecznej w Kurowie,REKOMENDACJA KIDO,Powiat włocławski,"Kurowo Parcele 44,
									87-821
									Baruchowo",dla osób przewlekle psychicznie chorych (Publiczny),60,2584/KR - 2021,14
Dom Pomocy Społecznej w Inowrocławiu,REKOMENDACJA KIDO,Powiat inowrocławski,"Macieja Wierzbińskiego 49,
									88-100
									Inowrocław",dla osób w podeszłym wieku (Publiczny),90,2599/KR - 2021,14
Dom Pomocy Społecznej w Nowogrodźcu,REKOMENDACJA KIDO,Powiat bolesławiecki,"Cicha 4,
									59-730
									Nowogrodziec",dla osób w podeszłym wieku oraz osób niepełnosprawnych fizycznie (Publiczny),30,2611/KR - 2021,14
Powiatowy Dom Pomocy Społecznej,REKOMENDACJA KIDO,Powiat oleśnicki,"Ostrowina 21,
									56-400
									Oleśnica",dla osób dorosłych niepełnosprawnych intelektualnie (Publiczny),305,2622/KR - 2021,14
Dom Pomocy Społecznej – Adam Żmuda,REKOMENDACJA KIDO,Powiat strzeliński,"Kościelna 12,
									57-120
									Wiązów",dla osób w podeszłym wieku (Publiczny),43,2633/KR - 2021,14
Dom Pomocy Społecznej w Kowarach,REKOMENDACJA KIDO,Powiat jeleniogórski,"Ludwika Waryńskiego 38,
									58-530
									Kowary",dla osób przewlekle somatycznie chorych (Publiczny),56,2653/KR - 2021,14
Dom Seniora Rado Stegna,REKOMENDACJA KIDO,Powiat nowodworski,"Żuławska 1E,
									82-103
									Stegna","dla osób niepełnosprawnych, osób przewlekle chorych lub osób w podeszłym wieku (Prywatny)",17,2753/KR - 2021,15
Ośrodek Opiekuńczo-Rehabilitacyjny SŁONECZNIKI Oborniki Śląskie,REKOMENDACJA KIDO,Powiat trzebnicki,"ul. Trzebnicka 43,
									55-120
									Oborniki Śląskie",Całodobowa Opieka i Pielęgnacja (Prywatna/Publiczna),45,2739/KR - 2021,15
Centrum Opiekuńczo-Rehabilitacyjne Poddębina Tuszyn,REKOMENDACJA KIDO,Powiat łódzki wschodni,"Poddębina 9A,
									95-090 
									Tuszyn","Placówka zapewniająca całodobową opiekę osobom niepełnosprawnym, przewlekle chorym lub osobom w podeszłym wieku (Prywatny)",105,05/KR - 2021,15
Dom Seniora Villa Peonia Łódź,REKOMENDACJA KIDO,Łódź,"Peoniowa 21/23,
									92-734
									Łódź","Placówka zapewniająca całodobową opiekę osobom niepełnosprawnym, przewlekle chorym lub osobom w podeszłym wieku (Prywatny)",16,07/KR - 2021,15
Dom Opieki Grabina Sunrise,REKOMENDACJA KIDO,Powiat łódzki wschodni,"Główna 74,
									92-701
									Grabina","Placówka zapewniająca całodobową opiekę osobom niepełnosprawnym, przewlekle chorym lub osobom w podeszłym wieku (Prywatny)",5,20/KR - 2021,15
Comfort Life Opieka i Rehabilitacja Ujazd,REKOMENDACJA KIDO,Powiat tomaszowski,"Północna 4,
									97-225
									Ujazd",Placówka Całodobowej Opieki (Prywatny),75,22/KR - 2021,15
Dom Seniora  Kudrowice,REKOMENDACJA KIDO,Powiat pabianicki,"Kudrowice 73M,
									95-200
									Pabianice","Placówka zapewniająca całodobową opiekę osobom niepełnosprawnym, przewlekle chorym lub osobom w podeszłym wieku (Prywatny)",58,28/KR - 2021,15
Rodzinny Dom Pomocy Magnolia,REKOMENDACJA KIDO,Powiat bełchatowski,"Teresin 1B,
									97-403
									Drużbice","Placówka zapewniająca całodobową opiekę osobom niepełnosprawnym, przewlekle chorym lub osobom w podeszłym wieku (Prywatny)",14,30/KR - 2021,15
Rezydencja Seniora ERANIA Ustronie Morskie,"REKOMENDACJA KIDO, ZAREJESTROWANO W KIDO",Powiat kołobrzeski,"Malechowo 4,
									78-111
									Ustronie Morskie","Dla osób niepełnosprawnych, przewlekle chorych lub w podeszłym wieku (Prywatny)",190,58/KR - 2021,15
Willa Seniora Strumiany,REKOMENDACJA KIDO,Powiat stargardzki,"Strumiany 1a,
									73-110
									Stargard Gmina","dla osób niepełnosprawnych, przewlekle chorych lub osób w podeszłym wieku (Prywatny)",24,62/KR - 2021,16
Dom Pielęgniarki-Magnolia,REKOMENDACJA KIDO,Powiat warszawski zachodni,"1 Maja 19,
									05-860
									Płochocin","dla osób w podeszłym wieku niepełnosprawnych, przewlekle chorych (Prywatny)",15,107/KR - 2021,16
Rodzinny Dom Opieki U Ewy,REKOMENDACJA KIDO,Powiat płoński,"Jeżewo Wesel 21 ,
									09-140 
									Raciąż",dla osób w podeszłym wieku niepełnosprawnych (Prywatny),4,111/KR - 2021,16
Dom Opieki Gold Senior,REKOMENDACJA KIDO,Warszawa,"Arkuszowa 128A,
									01-934
									Warszawa",dla osób w podeszłym wieku (Prywatny),42,127/KR - 2021,16
Dom Seniora Dorota Kossek,REKOMENDACJA KIDO,Powiat warszawski zachodni,"Bugaj 30,
									05-082
									Koczargi Nowe","dla osób w podeszłym wieku niepełnosprawnych, przewlekle chorych (Prywatny)",18,156/KR - 2021,16
Polska Akademia Nauk Dom Seniora,"REKOMENDACJA KIDO, ZAREJESTROWANO W KIDO",Powiat piaseczyński,"Jana Karola Chodkiewicza 3/5,
									05-510
									Konstancin-Jeziorna","dla osób w podeszłym wieku, niepełnosprawnych, przewlekle chorych (Prywatny)",62,219/KR - 2021,16
Dom Seniora Willa Kalina,REKOMENDACJA KIDO,Powiat piaseczyński,"Fabryczna 3,
									05-520
									Konstancin-Jeziorna","dla osób w podeszłym wieku, niepełnosprawnych, przewlekle chorych (Prywatny)",45,222/KR - 2021,16
Dom Pomocy Społecznej Dom z Sercem w Komorowie,"REKOMENDACJA KIDO, WIRTUALNY SPACER",Powiat ostrowski,"Kościelna 2,
									07-310
									Komorowo",dla osób w podeszłym wieku oraz osób przewlekle somatycznie chorych (Publiczny),50,232/KR - 2021,16
Dom Artystów Weteranów Scen Polskich,REKOMENDACJA KIDO,Powiat piaseczyński,"Kazimierza Pułaskiego 6,
									05-510
									Konstancin-Jeziorna",Dla osób w podeszłym wieku (Prywatna/Publiczna),50,278/KR - 2021,16
Specjalistyczny Zakład Opieki Zdrowotnej FEL-MED Łódź,REKOMENDACJA KIDO,Powiat łódzki,"Szpitalna 6,
									92-207
									Łódź",Opieka długoterminowa dla przewlekle chorych (Prywatna/Publiczna),297,2831/KR - 2021,17
Dom Pomocy Społecznej Katarzynki,REKOMENDACJA KIDO,Powiat poznański,"ul. Konwaliowa 1 ,
									62-006 
									Katarzynki",- 65 miejsc - dla osób w podeszłym wieku - 15 miejsc - dla osób przewlekle somatycznie chorych (Prywatna/Publiczna),80,368/KR - 2021,17
Dom Pomocy Społecznej Wolsztyn,REKOMENDACJA KIDO,Powiat wolsztyński,"Poznańska 29,
									64-200
									Wolsztyn",dla osób przewlekle somatycznie chorych (Publiczny),82,417/KR - 2021,17
Polski Związek Niewidomych Dom Pomocy Społecznej Olsztyn,REKOMENDACJA KIDO,Olsztyn,"Eugeniusza Paukszty 57,
									10-685
									Olsztyn ,",dla osób przewlekle somatycznie chorych oraz osób niepełnosprawnych fizycznie (niewidomych i słabowidzących) (Publiczny),100,544/KR - 2021,17
Dom Pomocy Społecznej Olsztyn,REKOMENDACJA KIDO,Olsztyn,"Bałtycka 37a,
									10-135
									Olsztyn",dla osób przewlekle somatycznie chorych (Publiczny),41,545/KR - 2021,17
Dom Pomocy Społecznej – Ewangelicki Dom Opieki BETEZDA Ukta,REKOMENDACJA KIDO,Powiat piski,"Ukta 31,
									12-220
									Ruciane Nida",dla osób przewlekle psychicznie chorych (Publiczny),40,557/KR - 2021,17
Prywatny Dom Opieki ARTWAY,REKOMENDACJA KIDO,Powiat bartoszycki,"Liski 7a,
									11-210
									Sępopol","dla osób niepełnosprawnych, przewlekle chorych i osób w podeszłym wieku (Prywatny)",32,590/KR - 2021,17
Dom Seniora MAGNOLIA Łaniewo,REKOMENDACJA KIDO,Powiat lidzbarski,"Łaniewo 27,
									11-100
									Lidzbark Warmiński","dla osób niepełnosprawnych, przewlekle chorych lub w podeszłym wieku (Prywatny)",41,593/KR - 2021,17
Dom Opieki Razem Stawiguda,REKOMENDACJA KIDO,Powiat olsztyński,"Podleśna 1,
									11-034
									Stawiguda","dla osób niepełnosprawnych, i w podeszłym wieku (Prywatny)",58,595/KR - 2021,17
Dom Pomocy Społecznej – Dom Seniora Nestor Kielce,REKOMENDACJA KIDO,Kielce,"Peryferyjna 15,
									25-562
									Kielce",osób w podeszłym wieku (Prywatna/Publiczna),68,604/KR - 2021,18
Dom Pomocy Społecznej  Sopot,REKOMENDACJA KIDO,Sopot,"Adama Mickiewicza 49,
									81-866
									Sopot",Dla osób przewlekle chorych lub osób w podeszłym wieku (Publiczny),83,663/KR - 2021,18
Dom Pomocy Społecznej Mors,REKOMENDACJA KIDO,Powiat nowodworski,"Morska 11,
									82-103
									Stegna","70 dla osób w podeszłym wieku, 60 dla osób przewlekle somatycznie chorych (Publiczny)",130,672/KR - 2021,18
Dom Opieki Park House Rumia,REKOMENDACJA KIDO,Powiat wejherowski,"Filtrowa 5,
									84-230
									Rumia","dla osób niepełnosprawnych, osób przewlekle chorych lub osób w podeszłym wieku (Prywatny)",49,712/KR - 2021,18
Prywatny Dom Seniora Zakoniczyn,REKOMENDACJA KIDO,Gdańsk,"Andrzeja Huenefelda 8,
									80-180
									Gdańsk","dla osób niepełnosprawnych, osób przewlekle chorych lub osób w podeszłym wieku (Prywatny)",24,744/KR - 2021,18
Dom Seniora Elite Prestige Licze,REKOMENDACJA KIDO,Powiat kwidzyński,"ul. Pałacowa 2,
									82-500
									Licze","Dla osób w podeszłym wieku, niepełnosprawnych, somatycznie  chorych (Prywatny)",36,773/KR - 2021,18
Dom Gościnny s.c.,REKOMENDACJA KIDO,Powiat sokólski,"Dzięciołówka 19,
									16-140
									Korycin","dla osób niepełnosprawnych, przewlekle chorych i w podeszłym wieku (Prywatny)",28,798/KR - 2021,18
Dom Pomocy Społecznej pw. św. Franciszka z Asyżu Caritas Diecezji Łomżyńskiej,"REKOMENDACJA KIDO, ZAREJESTROWANO W KIDO",Powiat białostocki,"ul. Klasztorna 1 ,
									16-080
									Tykocin",dla osób przewlekle psychicznie chorych - kobiety (Publiczny),56,813/KR - 2021,18
Dom Pomocy Społecznej Spokojna Przystań w Garbarach,REKOMENDACJA KIDO,Powiat białostocki,"Garbary 1,
									16-050
									Michałowo",dla osób przewlekle psychicznie chorych (Publiczny),200,816/KR - 2021,18
Dom Pomocy Społecznej Czerewki,REKOMENDACJA KIDO,Powiat białostocki,"Czerewki 1,
									16-061
									Juchnowiec Kościelny",dla osób w podeszłym wieku -53 miejsca dla osób przewlekle somatycznie chorych – 42 miejsca (Publiczny),95,832/KR - 2021,19
Dom Spokojnej Starości Złote Liście Zarzecze,REKOMENDACJA KIDO,Powiat rzeszowski,"Zarzecze 23,
									36-040
									Boguchwała","Całodobowa opieka nad osobami niepełnosprawnymi, przewlekle chorymi oraz w podeszłym wieku (Prywatny)",51,889/KR - 2021,19
Rodzinny Dom Pomocy Społecznej Zofia Dusberger,REKOMENDACJA KIDO,Powiat mielecki,"Grochowe 270,
									39-332
									Tuszów Narodowy",Całodobowa opieka nad osobami w podeszłym wieku (Prywatny),8,891/KR - 2021,19
Dom Seniora Pogodna Dolina,REKOMENDACJA KIDO,Powiat rzeszowski,"Siedliska 89,
									36-042
									Lubenia","Całodobowa opieka nad osobami niepełnosprawnymi, przewlekle chorymi oraz w podeszłym wieku (Prywatny)",80,894/KR - 2021,19
Dom Seniora Amazonka,REKOMENDACJA KIDO,Powiat krapkowicki,"Prudnicka 4,
									47-370
									Moszna","dla  osób niepełnosprawnych, przewlekle chorych i w podeszłym wieku (Prywatny)",30,910/KR - 2021,19
DOM SENIORA TILIAM,REKOMENDACJA KIDO,Powiat strzelecki,"Polna 3,
									47-120
									Zawadzkie","dla  osób w podeszłym wieku, przewlekle chorych i niepełnosprawnych (Prywatny)",30,927/KR - 2021,19
Dom Pomocy Społecznej w Borkach Wielkich,REKOMENDACJA KIDO,Powiat oleski,"Młyńska 1, Borki Wielkie,
									46-300
									Olesno",dla osób w podeszłym wieku – 36  i dla osób przewlekle somatycznie chorych –  6 (Prywatny),42,933/KR - 2021,19
Dom Pomocy Społecznej Opole,REKOMENDACJA KIDO,Opole,"Chmielowicka 2,
									45-758
									Opole","Dla osób w podeszłym wieku,  przewlekle somatycznie chorych (Publiczny)",104,953/KR - 2021,19
Centrum Opieki i Rehabilitacji Pałac Nałęczów,REKOMENDACJA KIDO,Powiat puławski,"Strzelce 41C,
									24-150
									Nałęczów","placówka prowadzona w ramach działalności gospodarczej dla kobiet i mężczyzn w podeszłym wieku, niepełnosprawnych i przewlekle chorych (Prywatny)",75,994/KR - 2021,19
Dom Seniora HILLTOM Lądek Zdrój,REKOMENDACJA KIDO,Powiat kłodzki,"Kłodzka 50B,
									57-540
									Lądek-Zdrój",Działalność statutowa (Prywatny),30,1054/KR - 2021,20
Dom Seniora Marconi Świdnica,REKOMENDACJA KIDO,Powiat świdnicki,"Wrocławska 50,
									58-100
									Świdnica","Dla osób niepełnosprawnych, osób przewlekle chorych lub osób w podeszłym wieku (Prywatny)",52,1085/KR - 2021,20
Sudecki Dom Seniora Słoneczna Polana,REKOMENDACJA KIDO,Powiat jeleniogórski,"Franciszkańska 30,
									58-580
									Szklarska Poręba",Działalność gospodarcza (Prywatny),48,1098/KR - 2021,20
Domek z Sercem,REKOMENDACJA KIDO,Powiat wrocławski,"Melioracyjna 1,
									55-010
									Radwanice",Działalność gospodarcza (Prywatny),26,1100/KR - 2021,20
Dom Seniora Marconi Medica Świdnica,REKOMENDACJA KIDO,Powiat świdnicki,"Rzeźnicza 13,
									58-100
									Świdnica","Dla osób niepełnosprawnych, osób przewlekle chorych lub osób w podeszłym wieku (Prywatny)",43,1107/KR - 2021,20
Dom Opieki ”Zacisze” w Łaznowskiej Woli,REKOMENDACJA KIDO,Powiat tomaszowski,"Południowa 29,
									97-221
									Rokiciny",dla osób przewlekle somatycznie chorych (Prywatny),31,1109/KR - 2021,20
Centrum Rehabilitacji i Opieki „Help-Med” w Raciborowicach,"REKOMENDACJA KIDO, ZAREJESTROWANO W KIDO",Powiat piotrkowski,"Raciborowice 66,
									97-310
									Moszczenica",dla osób przewlekle somatycznie chorych (Prywatny),43,1110/KR - 2021,20
Dom Pomocy Społecznej Łódź Narutowicza,REKOMENDACJA KIDO,Łódź,"Prezydenta Gabriela Narutowicza 114,
									90-145
									Łódź",dla osób przewlekle somatycznie chorych (Publiczny),100,1150/KR - 2021,20
Dom Pomocy Społecznej Włókniarz im. Jana Pawła II Łódź Krzemieniecka,REKOMENDACJA KIDO,Łódź,"Krzemieniecka 7/9,
									94-017
									Łódź",dla osób w podeszłym wieku (Publiczny),115,1151/KR - 2021,20
2-gi Dom Pomocy Społecznej  Łódź,REKOMENDACJA KIDO,Łódź,"28 Pułku Strzelców Kaniowskich 32,
									90-640
									Łódź",dla osób przewlekle somatycznie chorych (Publiczny),100,1152/KR - 2021,21
Dom Pomoc Społecznej Pogodna Jesień Łódź Dojazdowa,REKOMENDACJA KIDO,Łódź,"Dojazdowa 5/7,
									91-503
									Łódź",dla osób w podeszłym wieku (Publiczny),83,1154/KR - 2021,21
6 Dom Pomocy Społecznej Łódź Złotnicza,REKOMENDACJA KIDO,Łódź,"Złotnicza 10,
									91-836
									Łódź",dla osób przewlekle somatycznie chorych (Publiczny),124,1157/KR - 2021,21
Dom Pomocy Społecznej Łódź Spadkowa,REKOMENDACJA KIDO,Łódź,"Spadkowa 4/6,
									91-232
									Łódź",dla dorosłych niepełnosprawnych intelektualnie oraz dzieci i młodzieży niepełnosprawnych intelektualnie (Publiczny),178,1158/KR - 2021,21
Dom Pomocy Społecznej Dom Kombatanta Łódź Przyrodnicza,REKOMENDACJA KIDO,Łódź,"Przyrodnicza 24/26,
									91-480
									Łódź",dla osób w podeszłym wieku (Publiczny),44,1160/KR - 2021,21
Dom Opieki dla Osób Starszych przy Szpitalu Geriatrycznym im. Jana Pawła II w Katowicach,REKOMENDACJA KIDO,Katowice,"Morawa 31,
									40-353
									Katowice",osoby w podeszłym wieku (Prywatny),27,1186/KR - 2021,21
Dom Opieki Arka,REKOMENDACJA KIDO,Powiat lubliniecki,"Miodowa 65,
									42-286
									Koszęcin","osoby niepełnosprawne, przewlekle chore lub osoby w podeszłym wieku (Prywatny)",18,1203/KR - 2021,21
Dom Opieki Zapiecek,REKOMENDACJA KIDO,Powiat będziński,"Kościuszki 224,
									42-580
									Rogoźnik","osoby niepełnosprawne, przewlekle chore lub osoby w podeszłym wieku (Prywatny)",30,1227/KR - 2021,21
Dom Opieki Zapiecek,REKOMENDACJA KIDO,Powiat myszkowski,"Wyzwolenia 165-167,
									42-300
									Myszków","osoby niepełnosprawne, przewlekle chore lub osoby w podeszłym wieku (Prywatny)",35,1251/KR - 2021,21
Rodzinny Dom Opieki Zielony Dworek,REKOMENDACJA KIDO,Powiat tarnogórski,"Zwycięstwa 7,
									42-624
									Tąpkowice",osoby w podeszłym wieku (Prywatny),17,1258/KR - 2021,22
DPS p.w. Św. Antoniego Zgromadzenia Sióstr Miłosierdzia Św. Wincentego a’ Paulo Częstochowa,REKOMENDACJA KIDO,Częstochowa,"Wieluńska 1,
									42-200
									Częstochowa",osoby w podeszłym wieku (Publiczny),135,2449/KR - 2021,22
Dom Pomocy Społecznej Stowarzyszenia Pomocna Dłoń Bytom,REKOMENDACJA KIDO,Bytom,"Strzelców Bytomskich 450,
									41-935
									Bytom",osoby w podeszłym wieku oraz osoby przewlekle somatycznie chore (Publiczny),99,2479/KR - 2021,22
Dom Opieki JESTEM Grobla,REKOMENDACJA KIDO,Powiat bocheński,"Grobla 229,
									32-709
									Drwinia","dla osób niepełnosprawnych, przewlekle chorych i osób w podeszłym wieku (Prywatny)",195,2488/KR - 2021,22
ArmadaClinik Dom Seniora,REKOMENDACJA KIDO,Powiat myślenicki,"Głogoczów 1036,
									32-444
									Głogoczów","dla osób niepełnosprawnych, przewlekle chorych i osób w podeszłym wieku (Prywatny)",75,2490/KR - 2021,22
Rodzinny Dom Opieki STAŚ,REKOMENDACJA KIDO,Powiat brzeski,"Gnojnik 222,
									32-864
									Gnojnik","dla osób niepełnosprawnych, przewlekle chorych i osób w podeszłym wieku (Prywatny)",44,2492/KR - 2021,22
Dom Spokojnej Starości Filiżanka,REKOMENDACJA KIDO,Powiat brzeski,"Gnojnik 690,
									32-864
									Gnojnik","dla osób niepełnosprawnych, przewlekle chorych i osób w podeszłym wieku (Prywatny)",49,2493/KR - 2021,22
DOM OPIEKI NESTOR Ośrodek Pielęgnacyjny z Rehabilitacją,REKOMENDACJA KIDO,Powiat wielicki,"Kazimierza Pułaskiego 24B,
									32-020
									Wieliczka","dla osób niepełnosprawnych, przewlekle chorych i osób w podeszłym wieku (Prywatny)",35,2494/KR - 2021,22
Dom Pod Klonami,REKOMENDACJA KIDO,Powiat myślenicki,"Głogoczów 832,
									32-444
									Myślenice","dla osób niepełnosprawnych, przewlekle chorych i osób w podeszłym wieku (Prywatny)",70,2495/KR - 2021,22
Dom Seniora Na Wzgórzu,REKOMENDACJA KIDO,Powiat myślenicki,"Głogoczów 805,
									32-444
									Głogoczów","dla osób niepełnosprawnych, przewlekle chorych i osób w podeszłym wieku (Prywatny)",60,2501/KR - 2021,23
Dom Seniora Skałka,REKOMENDACJA KIDO,Powiat olkuski,"Kolejowa 28,
									32-332
									Bukowno","dla osób niepełnosprawnych, przewlekle chorych i osób w podeszłym wieku (Prywatny)",14,2502/KR - 2021,23
Rodzinny Dom Opieki Dom Jezusa z Nazaretu,REKOMENDACJA KIDO,Powiat limanowski,"Joachima Łukasza Rupniowskiego 5a,
									34-600
									Limanowa","dla osób niepełnosprawnych, przewlekle chorych i osób w podeszłym wieku (Prywatny)",7,2503/KR - 2021,23
Centrum Opieki i Rehabilitacji Dom pod Sosnami,REKOMENDACJA KIDO,Powiat wadowicki,"Kalwaryjska 97,
									34-113
									Paszkówka","dla osób niepełnosprawnych, przewlekle chorych i osób w podeszłym wieku (Prywatny)",37,2504/KR - 2021,23
